Participant,AccValid,AccInvalid,RTValid,RTInvalid
101,0.9830508474576272,0.9642857142857143,361.7079634999527,364.4536627500088
102,1.0,1.0,547.1071307499642,611.4552617499385
103,0.9168096054888508,0.8897435897435897,600.0732560003144,587.0197559997905
104,0.9880952380952381,1.0,528.2966997499443,537.8690605000145
105,0.94,0.7272727272727273,645.4237299997203,573.5826970003473
106,0.9822994987468672,1.0,419.2426312497446,439.15806749987496
108,0.9540343915343915,0.6,456.3330375000305,631.1320265001541
109,0.9234693877551021,0.9772727272727273,446.95026625004175,556.0383820002244
110,0.9901960784313726,0.9705882352941176,484.0763344998322,478.48869999995713
111,0.973959938366718,1.0,443.5412585003178,472.33149699968635
112,0.6827586206896552,0.8333333333333334,436.6665312497844,501.3115864999236
202,0.8991402116402116,0.8973214285714286,495.63977674995385,587.358365
203,0.920807453416149,0.7333333333333334,520.9746857497066,973.144689000037
204,0.9471604215456675,0.9166666666666667,395.5098234998786,370.23293300012483
205,0.9575551782682512,1.0,489.59985525016236,560.0809857496643
207,0.9595918367346938,0.9494949494949495,455.66516450071504,500.2283362500748
208,0.882962962962963,0.9411764705882353,662.9326765000769,643.093440499797
209,0.900462962962963,0.9285714285714286,488.5622442507156,474.7125944995787
210,0.9655172413793103,0.875,482.1316255001875,543.0173155000375
211,0.9117132867132867,0.9285714285714286,713.4103845000936,894.0804794997348
301,0.9833333333333334,0.9,485.4805372499982,533.6649234999413
302,0.9553571428571428,0.9615384615384616,519.5475524999438,505.3397710000809
303,0.9418798665183536,0.9583333333333333,488.4588482498202,500.39610975022697
304,0.9647959183673469,0.9473684210526316,527.581446500335,533.4898155001611
305,1.0,0.9083333333333333,477.2386757495042,446.72875574997306
306,0.9418604651162791,0.8,484.9421057501786,578.671702500742
307,1.0,1.0,681.7458885007,804.780758000561
308,0.9722222222222222,0.9722222222222222,419.73686199889926,485.56991100031155
309,0.957183908045977,1.0,435.42846425043535,437.121910001224
